,3.5,4.5,5.5,6.5
1093,252,254,253,253
1094,252,254,253,253
1095,252,254,253,253
1096,254,254,253,253
1097,254,254,253,253
1098,254,254,253,253
1099,254,254,253,253
1100,254,253,253,253
1101,254,253,253,253
1102,254,253,253,253
1103,254,253,253,253
1104,252,253,253,253
1105,252,253,253,253
1106,252,253,253,253
1107,252,253,253,253
1108,252,253,253,253
1109,252,253,253,253
1110,252,253,253,253
1111,252,253,253,253
1112,254,253,253,253
1113,254,253,253,253
1114,254,253,253,253
1115,254,253,253,253
1116,254,253,253,253
1117,254,253,253,253
1118,254,253,253,253
1119,254,253,253,253
1120,255,253,253,253
1121,255,253,253,253
1122,255,253,253,253
1123,255,253,253,253
1124,255,253,253,253
1125,255,253,253,253
1126,255,253,253,253
1127,255,253,253,253
1128,255,253,253,253
1129,255,253,253,253
1130,255,253,253,253
1131,255,253,253,253
1132,255,253,253,253
1133,255,253,253,253
1134,255,253,253,253
1135,255,253,253,253
1136,254,253,253,253
1137,254,253,253,253
1138,254,253,253,253
1139,254,253,253,253
1140,254,253,253,253
1141,254,253,253,253
1142,254,253,253,253
1143,254,253,253,253
1144,254,253,253,253
1145,254,253,253,253
1146,254,253,253,253
1147,254,253,253,253
1148,254,253,253,253
1149,254,253,253,253
1150,254,253,253,253
1151,254,253,253,253
1152,255,253,253,253
1153,255,253,253,253
1154,255,253,253,253
1155,255,253,253,253
1156,255,253,253,253
1157,255,253,253,253
1158,255,253,253,253
1159,255,253,253,253
1160,255,253,253,253
1161,255,253,253,253
1162,255,253,253,253
1163,255,253,253,253
1164,255,253,253,253
1165,255,253,253,253
1166,255,253,253,253
1167,255,253,253,253
1168,255,253,253,253
1169,255,253,253,253
1170,255,253,253,253
1171,255,253,253,253
1172,255,253,253,253
1173,255,253,253,253
1174,255,253,253,253
1175,255,253,253,253
1176,255,253,253,253
1177,255,253,253,253
1178,255,253,253,253
1179,255,253,253,253
1180,255,253,253,253
1181,255,253,253,253
1182,255,253,253,253
1183,255,253,253,253
1184,255,253,253,253
1185,255,253,253,253
1186,255,253,253,253
1187,255,253,253,253
1188,255,253,253,253
1189,255,253,253,253
1190,255,253,253,253
1191,255,253,253,253
1192,254,253,253,253
1193,254,253,253,253
1194,254,253,253,253
1195,254,253,253,253
1196,254,253,253,253
1197,254,253,253,253
1198,254,253,253,253
1199,254,253,253,253
1200,254,248,253,253
1201,254,249,253,253
1202,254,251,253,253
1203,254,253,253,253
1204,254,254,253,253
1205,254,254,253,253
1206,254,253,253,253
1207,254,253,253,253
1208,251,253,253,253
1209,251,253,253,253
1210,251,253,253,253
1211,251,254,253,253
1212,251,254,253,253
1213,251,254,253,253
1214,251,254,253,253
1215,251,254,253,253
1216,254,251,253,253
1217,254,251,253,253
1218,254,251,253,253
1219,254,251,253,253
1220,253,251,253,253
1221,253,252,253,253
1222,252,253,253,253
1223,252,253,253,253
1224,253,253,253,253
1225,253,253,253,253
